ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
44	obscurus1900686	chrChromosome19	+	16267149	16267197	16271433	16271546	16266495	16266532	16271860	16271989	44	"18,7,6"	"34,10,37"	"96,36,71"	"94,46,155"	197	262	0.085018257	0.255444974	"0.413,0.482,0.177"	"0.576,0.51,0.379"	-0.131
45	obscurus1900631	chrChromosome19	+	14906617	14906800	14906895	14908338	14904200	14904449	14908583	14908640	45	"35,1,27"	"9,13,10"	"16,44,27"	"4,9,15"	298	298	0.145851434	0.359444292	"0.795,0.071,0.73"	"0.8,0.83,0.643"	-0.226
46	obscurus1900563	chrChromosome19	+	13668521	13668615	13669895	13670038	13667714	13667933	13670330	13670394	46	"2,0,5"	"4,2,8"	"8,1,1"	"5,3,1"	243	292	0.202417816	0.432505623	"0.375,0.0,0.429"	"0.658,0.286,0.546"	-0.229
47	obscurus1900481	chrChromosome19	-	11858222	11858399	11858573	11858765	11857894	11858047	11858871	11859000	47	"625,19,529"	"805,91,630"	"235,38,123"	"572,58,176"	298	298	0.958701249	1	"0.437,0.173,0.456"	"0.291,0.396,0.411"	-0.011
48	obscurus1900479	chrChromosome19	-	11851383	11851496	11851685	11851731	11851109	11851283	11851829	11852012	48	"108,39,97"	"213,124,146"	"38,77,33"	"79,114,40"	195	262	0.205234123	0.437384197	"0.405,0.297,0.472"	"0.393,0.476,0.526"	-0.074
49	obscurus1900409	chrChromosome19	-	10409458	10409525	10409806	10409859	10409219	10409359	10410030	10410102	49	"1,0,0"	"10,16,10"	"0,0,0"	"40,64,30"	202	216	1	1	"0.097,0.0,0.0"	"0.0,0.0,0.0"	0.032
50	obscurus1900334	chrChromosome19	-	8823438	8823577	8826133	8826194	8821724	8821814	8831354	8831481	50	"229,227,211"	"529,68,490"	"170,260,158"	"360,345,324"	210	288	0.311373869	0.559080755	"0.373,0.821,0.371"	"0.393,0.508,0.401"	0.088
51	obscurus1900127	chrChromosome19	+	3603407	3603517	3604617	3604673	3602584	3602647	3604751	3604864	51	"15,10,30"	"5,7,9"	"20,26,25"	"8,13,8"	259	205	0.830985288	0.95342414	"0.704,0.531,0.725"	"0.664,0.613,0.712"	-0.01
52	obscurus2100884	chrChromosome21	-	22827786	22827909	22828390	22828518	22827171	22827300	22829535	22829631	52	"9,053,011,060"	"12,864,601,411"	"983,983,407"	"796,841,481"	277	272	5.59E-05	0.001155406	"0.409,0.391,0.425"	"0.548,0.534,0.454"	-0.104
53	obscurus1900061	chrChromosome19	+	1776729	1776873	1778141	1778206	1775723	1775795	1780530	1780681	53	"11,366,193,996,316"	"39,599,493,813"	"117,711,978,310,746"	"373,853,923,861"	293	214	0.224680719	0.462923079	"0.677,0.937,0.547"	"0.697,0.728,0.67"	0.022
54	obscurus1900061	chrChromosome19	+	1778141	1778206	1780530	1780681	1776729	1776873	1781504	1781582	54	"586,338,524,734"	"420,122,994,332"	"7,690,127,687,754"	"363,854,633,050"	214	298	1.67E-08	1.02E-06	"0.66,0.7,0.603"	"0.746,0.765,0.78"	-0.109
55	obscurus1900041	chrChromosome19	+	1223102	1223192	1223762	1223847	1222811	1222829	1224270	1224329	55	"3,0,5"	"576,172,491"	"6,0,4"	"369,341,333"	239	234	1	1	"0.005,0.0,0.01"	"0.016,0.0,0.012"	-0.004
56	obscurus1801057	chrChromosome18	-	25908393	25908500	25908573	25908745	25908051	25908190	25909162	25909165	56	"358,228,052,605"	"424,554,362,590"	"330,345,962,929"	"336,751,602,940"	298	256	0.090315578	0.2623289	"0.42,0.307,0.464"	"0.457,0.433,0.461"	-0.053
57	obscurus1801041	chrChromosome18	-	25557301	25557423	25557737	25557819	25557194	25557222	25558288	25558408	57	"11,6,6"	"7,5,9"	"9,33,36"	"23,52,56"	231	271	0.096428656	0.271777241	"0.648,0.585,0.439"	"0.315,0.427,0.43"	0.167
58	obscurus1800961	chrChromosome18	+	22398835	22399039	22420377	22420509	22388486	22388540	22420577	22420712	58	"37,2,12"	"4,0,2"	"17,36,12"	"5,0,0"	298	281	0.388092662	0.632293753	"0.897,1.0,0.85"	"0.762,1.0,1.0"	-0.005
59	obscurus1800961	chrChromosome18	+	22420377	22420509	22420577	22420712	22398835	22399039	22421907	22422121	59	"28,4,10"	"9,1,3"	"26,15,9"	"12,14,14"	281	284	0.011058188	0.067254479	"0.759,0.802,0.771"	"0.687,0.52,0.394"	0.244
60	obscurus1800825	chrChromosome18	-	19075883	19075916	19076346	19076521	19075268	19075410	19077072	19077133	60	"87,40,84"	"3,1,0"	"80,76,104"	"3,5,2"	298	182	0.074714486	0.243894351	"0.947,0.961,1.0"	"0.942,0.903,0.969"	0.031
61	obscurus2000638	chrChromosome20	+	19141482	19141593	19142278	19142464	19141155	19141237	19142836	19143044	61	"56,35,50"	"110,65,55"	"24,48,16"	"24,44,14"	260	298	0.016661379	0.090721646	"0.368,0.382,0.51"	"0.534,0.556,0.567"	-0.132
62	obscurus1800761	chrChromosome18	+	16544938	16545101	16550505	16550647	16542727	16542748	16550999	16551121	62	"12,1,9"	"16,11,8"	"2,3,5"	"0,4,13"	298	291	0.537990042	0.751832215	"0.423,0.082,0.523"	"1.0,0.423,0.273"	-0.223
63	obscurus1800684	chrChromosome18	-	14228656	14228805	14234293	14234453	14224982	14225156	14236401	14236617	63	"33,72,58"	"57,16,46"	"95,67,81"	"64,77,115"	298	298	0.292292222	0.539935899	"0.367,0.818,0.558"	"0.597,0.465,0.413"	0.089
64	obscurus1800684	chrChromosome18	-	14234293	14234453	14236401	14236617	14228656	14228805	14237896	14238091	64	"28,39,57"	"59,22,41"	"42,64,63"	"48,70,79"	298	298	0.517552054	0.738345865	"0.322,0.639,0.582"	"0.467,0.478,0.444"	0.051
65	obscurus1800659	chrChromosome18	-	13951569	13951647	13951951	13952055	13951304	13951382	13954993	13955036	65	"0,0,0"	"4,1,0"	"1,30,17"	"4,14,12"	253	227	1	1	"0.0,0.0,NA"	"0.183,0.658,0.56"	-0.467
66	obscurus1800649	chrChromosome18	+	13504289	13504370	13504627	13504772	13503956	13503983	13504845	13504987	66	"5,5,7"	"14,15,20"	"0,27,1"	"37,37,17"	230	294	0.12378365	0.321837489	"0.313,0.299,0.309"	"0.0,0.483,0.07"	0.123
67	obscurus1800645	chrChromosome18	+	13471241	13471339	13472173	13472257	13470325	13470420	13473046	13473129	67	"179,123,108"	"269,233,207"	"10,4,12"	"69,38,66"	247	233	5.37E-11	5.08E-09	"0.386,0.332,0.33"	"0.12,0.09,0.146"	0.231
68	obscurus1800616	chrChromosome18	-	12799098	12799205	12799931	12799987	12798507	12798685	12802419	12802459	68	"34,40,18"	"206,118,126"	"28,38,34"	"106,100,294"	205	256	0.750423178	0.907796119	"0.171,0.297,0.151"	"0.248,0.322,0.126"	-0.026
69	obscurus1800539	chrChromosome18	-	11424426	11424513	11434415	11434624	11421779	11421893	11436042	11436147	69	"17,1,10"	"10,3,4"	"4,10,5"	"0,0,2"	298	236	0.000125792	0.002076567	"0.574,0.209,0.664"	"1.0,1.0,0.664"	-0.406
70	obscurus1800493	chrChromosome18	+	10513387	10513540	10514477	10514606	10510839	10510892	10514782	10514866	70	"1,562,432,781"	"1,036,786,746"	"17,911,791,890"	"760,829,488"	298	278	6.27E-05	0.001253298	"0.584,0.339,0.494"	"0.687,0.668,0.63"	-0.189
71	obscurus1800461	chrChromosome18	+	10165469	10165597	10165956	10166097	10165175	10165377	10166175	10166319	71	"72,77,45"	"67,122,57"	"102,128,173"	"149,218,306"	277	290	0.082781283	0.253213337	"0.529,0.398,0.453"	"0.417,0.381,0.372"	0.07
72	obscurus1800365	chrChromosome18	-	8733189	8733273	8733800	8733974	8731750	8731828	8734527	8734614	72	"768,175,532"	"506,376,330"	"196,317,181"	"159,220,174"	298	233	0.527218914	0.745990441	"0.543,0.267,0.558"	"0.491,0.53,0.449"	-0.034
73	obscurus1800206	chrChromosome18	+	5192194	5192317	5195662	5195774	5191302	5191451	5195911	5195971	73	"138,10,136"	"133,81,114"	"113,151,78"	"81,119,57"	272	261	0.028173644	0.124453336	"0.499,0.106,0.534"	"0.572,0.549,0.568"	-0.183
74	obscurus1800150	chrChromosome18	-	3708962	3709092	3709610	3709670	3708788	3708886	3709811	3709883	74	"539,448,278"	"12,746,741,114"	"36,36,77"	"99,95,236"	209	279	0.382697778	0.626873788	"0.361,0.47,0.25"	"0.327,0.336,0.303"	0.038
75	obscurus1800150	chrChromosome18	-	3709610	3709670	3709811	3709883	3708962	3709092	3710446	3710545	75	"626,843,424"	"387,172,437"	"48,49,111"	"35,27,81"	221	209	0.321241509	0.566631559	"0.605,0.823,0.479"	"0.565,0.632,0.564"	0.049
76	obscurus1800150	chrChromosome18	-	3709811	3709883	3710446	3710545	3709610	3709670	3711921	3712025	76	"9,111,760,643"	"7,471,049,473"	"90,98,141"	"79,62,151"	248	221	0.180030733	0.404305249	"0.521,0.599,0.548"	"0.504,0.585,0.454"	0.042
77	obscurus1800146	chrChromosome18	+	3643219	3643325	3645162	3645228	3642346	3642498	3646594	3646672	77	"39,679,632,900"	"412,129,817"	"679,693,206,419"	"544,922,666"	255	215	6.70E-05	0.001310239	"0.89,0.863,0.75"	"0.913,0.895,0.89"	-0.065
78	obscurus1900857	chrChromosome19	+	24935714	24935852	24937799	24937938	24930278	24930440	24940484	24940654	78	"31,23,61"	"38,2,70"	"43,49,13"	"87,56,9"	287	288	0.133566818	0.340464439	"0.45,0.92,0.467"	"0.332,0.468,0.592"	0.148
79	obscurus1800070	chrChromosome18	+	1801402	1801493	1803087	1803172	1801216	1801327	1803743	1803931	79	"15,841,464,114,668"	"84,529,269,963"	"150,031,439,913,996"	"647,765,378,457"	240	234	0.413390643	0.654677234	"0.646,0.83,0.589"	"0.693,0.682,0.617"	0.024
80	obscurus1800070	chrChromosome18	+	1802656	1802856	1803087	1803172	1801402	1801493	1803743	1803931	80	"189,441,026,119,267"	"84,539,249,978"	"209,832,040,020,137"	"647,765,378,457"	298	234	0.355725272	0.60155168	"0.638,0.897,0.603"	"0.718,0.71,0.652"	0.019
81	obscurus1800066	chrChromosome18	-	1628388	1628570	1630121	1630202	1627481	1627591	1632320	1632569	81	"74,19,85"	"127,33,154"	"71,34,42"	"54,51,51"	230	298	0.018668957	0.098080615	"0.43,0.427,0.417"	"0.63,0.463,0.516"	-0.112
82	obscurus1800066	chrChromosome18	-	1630121	1630202	1632320	1632569	1628388	1628570	1634730	1634865	82	"110,38,156"	"57,20,69"	"72,39,46"	"31,32,27"	298	230	0.385083541	0.628707821	"0.598,0.595,0.636"	"0.642,0.485,0.568"	0.045
83	obscurus1800066	chrChromosome18	-	1637112	1637262	1641703	1641913	1635155	1635309	1653543	1653643	83	"124,49,119"	"135,58,102"	"91,52,47"	"54,58,50"	298	298	0.450934294	0.682637068	"0.479,0.458,0.538"	"0.628,0.473,0.485"	-0.037
84	obscurus1800003	chrChromosome18	-	100336	100454	100862	100931	100088	100220	102830	102899	84	"29,13,27"	"35,25,19"	"83,63,61"	"36,43,41"	218	267	0.015134082	0.084921158	"0.504,0.389,0.635"	"0.738,0.642,0.646"	-0.166
85	obscurus1700923	chrChromosome17	-	27472966	27473128	27474218	27474392	27472173	27472324	27484700	27484868	85	"35,4,52"	"17,1,30"	"78,149,109"	"41,66,78"	298	298	0.71982085	0.889089886	"0.673,0.8,0.634"	"0.655,0.693,0.583"	0.059
86	obscurus1700920	chrChromosome17	-	27389302	27389412	27405050	27405218	27382029	27382080	27424677	27424813	86	"57,54,58"	"62,149,37"	"124,175,71"	"119,159,74"	298	259	0.329536925	0.57793997	"0.444,0.24,0.577"	"0.475,0.489,0.455"	-0.053
87	obscurus1700920	chrChromosome17	-	27405050	27405218	27424677	27424813	27389302	27389412	27432691	27432915	87	"43,25,33"	"48,73,70"	"90,156,42"	"139,157,72"	285	298	0.153538453	0.367926248	"0.484,0.264,0.33"	"0.404,0.51,0.379"	-0.072
88	obscurus1700894	chrChromosome17	+	26415156	26415270	26415450	26415564	26414579	26414678	26417975	26418104	88	"9,14,8"	"29,21,21"	"0,5,2"	"1,8,8"	263	263	0.470337559	0.699152269	"0.237,0.4,0.276"	"0.0,0.385,0.2"	0.109
89	obscurus1700652	chrChromosome17	+	15444431	15444509	15445443	15445560	15444143	15444242	15445678	15445745	89	"80,20,44"	"105,42,74"	"26,16,22"	"23,15,26"	227	266	0.04707417	0.178025953	"0.472,0.358,0.411"	"0.57,0.556,0.498"	-0.128
90	obscurus1700621	chrChromosome17	-	14970250	14970356	14970559	14970625	14969501	14969620	14970743	14970911	90	"162,34,83"	"290,22,130"	"123,319,901,247"	"128,919,641,729"	215	255	0.523020148	0.743088735	"0.399,0.647,0.431"	"0.532,0.546,0.461"	-0.021
91	obscurus1700388	chrChromosome17	-	9817637	9817688	9818552	9818621	9816755	9817176	9819378	9819571	91	"44,4,11"	"9,0,14"	"66,39,28"	"14,16,10"	218	200	0.958651862	1	"0.818,1.0,0.419"	"0.812,0.691,0.72"	0.005
92	obscurus0000372	chrContig48	+	95666	95840	113010	113181	91056	92800	124450	124624	92	"1,0,1"	"3,7,1"	"1,1,4"	"3,4,4"	298	298	0.006704967	0.047078343	"0.25,0.0,0.5"	"0.25,0.2,0.5"	-0.067
93	obscurus1700338	chrChromosome17	-	9187675	9187758	9187986	9188116	9187432	9187512	9188406	9188501	93	"48,31,48"	"28,14,16"	"24,73,89"	"16,17,56"	279	232	0.931922198	1	"0.588,0.648,0.714"	"0.555,0.781,0.569"	0.015
94	obscurus1700296	chrChromosome17	+	8200194	8200278	8210393	8210553	8199672	8199817	8212676	8212966	94	"0,0,0"	"225,180,139"	"1,0,0"	"65,135,30"	233	298	1	1	"0.0,0.0,0.0"	"0.019,0.0,0.0"	-0.006
95	obscurus1700285	chrChromosome17	+	8064427	8064517	8064723	8064835	8064217	8064339	8064916	8065030	95	"5,2,15"	"9,6,11"	"1,0,1"	"0,4,0"	239	261	0.064199259	0.22255743	"0.378,0.267,0.598"	"1.0,0.0,1.0"	-0.252
96	obscurus1700264	chrChromosome17	-	7900909	7901020	7901858	7901969	7900186	7900334	7902700	7902809	96	"220,60,143"	"237,197,166"	"71,144,95"	"182,253,218"	260	260	0.194541486	0.420751515	"0.481,0.233,0.463"	"0.281,0.363,0.304"	0.076
97	obscurus1700264	chrChromosome17	-	7901858	7901969	7902700	7902809	7900909	7901020	7903361	7903555	97	"183,48,204"	"246,118,184"	"159,216,185"	"137,219,207"	258	260	0.103739029	0.28541955	"0.428,0.291,0.528"	"0.539,0.498,0.474"	-0.088
98	obscurus1700222	chrChromosome17	+	7199962	7200058	7207402	7207492	7194805	7194924	7208812	7208973	98	"49,21,20"	"37,3,17"	"37,36,24"	"32,28,5"	245	239	0.814042616	0.947293357	"0.564,0.872,0.534"	"0.53,0.556,0.824"	0.02
99	obscurus1700030	chrChromosome17	-	833651	833707	834293	834413	828217	828283	834594	834674	99	"177,50,128"	"88,13,67"	"371,293,159"	"123,83,71"	269	205	0.181961646	0.40609466	"0.605,0.746,0.593"	"0.697,0.729,0.631"	-0.038
100	obscurus1700006	chrChromosome17	+	211250	211330	211505	211652	210569	210696	212017	212099	100	"667,285,782"	"13,393,511,289"	"178,171,278"	"475,504,583"	229	296	0.000272932	0.004076009	"0.392,0.512,0.44"	"0.326,0.305,0.381"	0.111
101	obscurus1700005	chrChromosome17	+	197906	197995	198340	198460	191646	191807	198618	198662	101	"513,617,266,190"	"18,157,083,041"	"9,445,101,327,254"	"273,219,681,830"	238	269	2.26E-10	1.96E-08	"0.762,0.734,0.697"	"0.796,0.853,0.818"	-0.091
102	obscurus1700005	chrChromosome17	+	198114	198243	198340	198460	197906	197995	198618	198662	102	"581,126,417,675"	"17,736,532,935"	"10,976,114,928,835"	"272,419,361,822"	278	269	1.93E-06	6.08E-05	"0.76,0.796,0.717"	"0.796,0.852,0.824"	-0.066
